depth "temperature (K)" "grain size (m)"
101.93 244.164174051694 0.002345199763732
102.11 244.164331525738 0.002381984100794
102.2 244.16441026276 0.002449243091375
123.84 244.183342142272 0.002333560686265
123.93 244.183420879294 0.002490200142942
124.02 244.183499616316 0.002582450480026
124.11 244.183578353338 0.002519357615044
124.2 244.18365709036 0.002684252531725
124.29 244.183735827382 0.002723066738189
145.84 244.202588969872 0.002702188940605
145.93 244.202667706894 0.002643727613064
146.02 244.202746443916 0.002691717697777
146.11 244.202825180938 0.002577097964002
146.2 244.20290391796 0.002483513586635
146.29 244.202982654982 0.002616509106667
166.74 244.220873456092 0.002727210980132
167.84 244.221835797472 0.002504628138096
167.93 244.221914534494 0.002881631643784
168.02 244.221993271516 0.002925075705252
168.11 244.222072008538 0.002727229654671
168.2 244.22215074556 0.002932001584814
168.29 244.222229482582 0.003062363683748
189.84 244.241082625072 0.003043150961139
189.93 244.241161362094 0.003218265175312
190.02 244.241240099116 0.00298165948122
190.11 244.241318836138 0.002656629704725
190.2 244.24139757316 0.003061222181815
190.29 244.241476310182 0.002943251120465
211.84 244.260329452672 0.002699372122952
211.93 244.260408189694 0.00308815341491
212.02 244.260486926716 0.003115607929108
212.11 244.260565663738 0.003153689571748
212.2 244.26064440076 0.00302896148082
212.29 244.260723137782 0.003006847842977
233.84 244.279576280272 0.003249888716785
233.93 244.279655017294 0.003025588354352
234.02 244.279733754316 0.003154694699632
234.11 244.279812491338 0.003416740688866
234.2 244.27989122836 0.003269923289067
234.29 244.279969965382 0.00340894906374
255.84 244.298823107872 0.002924886350451
255.93 244.298901844894 0.003174904884394
256.02 244.298980581916 0.003415956176017
256.11 244.299059318938 0.003326623688523
256.2 244.29913805596 0.003304666018028
256.29 244.299216792982 0.002965753119155
277.84 244.318069935472 0.003207291494803
277.93 244.318148672494 0.002838175312861
278.02 244.318227409516 0.00369431752885
278.11 244.318306146538 0.003280279945268
278.2 244.31838488356 0.003233864611365
278.29 244.318463620582 0.003279491906801
278.94 244.319032276852 0.003444049089947
279.03 244.319111013874 0.0032032695222
279.3 244.31934722494 0.003207680514351
279.39 244.319425961962 0.003172277035019
286.09 244.325287495822 0.003274913267661
286.18 244.325366232844 0.003040245912324
286.27 244.325444969866 0.00338201232904
286.36 244.325523706888 0.002816453388156
286.45 244.32560244391 0.002994183408275
286.54 244.325681180932 0.003444049089947
299.84 244.337316763072 0.003366220023095
299.93 244.337395500094 0.003740708836122
300.02 244.337474237116 0.003583878608349
300.11 244.337552974138 0.003304862507737
300.2 244.33763171116 0.003407421109827
300.29 244.337710448182 0.003590072692786
321.84 244.356563590672 0.003467858178346
321.93 244.356642327694 0.003391538761964
322.02 244.356721064716 0.003281616848413
322.11 244.356799801738 0.003427439414661
322.2 244.35687853876 0.002943091055482
322.29 244.356957275782 0.003541809475532
332.84 244.366187004472 0.003980940251921
332.93 244.366265741494 0.004149337268989
333.02 244.366344478516 0.003675399607365
333.11 244.366423215538 0.003658420348504
333.2 244.36650195256 0.003489671975824
333.29 244.366580689582 0.003721906984169
