         320
           1           2          11          10
           2           3          12          11
           3           4          13          12
           4           5          14          13
           5           6          15          14
           6           7          16          15
           7           8          17          16
           8           9          18          17
          10          11          20          19
          11          12          21          20
          12          13          22          21
          13          14          23          22
          14          15          24          23
          15          16          25          24
          16          17          26          25
          17          18          27          26
          19          20          29          28
          20          21          30          29
          21          22          31          30
          22          23          32          31
          23          24          33          32
          24          25          34          33
          25          26          35          34
          26          27          36          35
          28          29          38          37
          29          30          39          38
          30          31          40          39
          31          32          41          40
          32          33          42          41
          33          34          43          42
          34          35          44          43
          35          36          45          44
          37          38          47          46
          38          39          48          47
          39          40          49          48
          40          41          50          49
          41          42          51          50
          42          43          52          51
          43          44          53          52
          44          45          54          53
          46          47          56          55
          47          48          57          56
          48          49          58          57
          49          50          59          58
          50          51          60          59
          51          52          61          60
          52          53          62          61
          53          54          63          62
          55          56          65          64
          56          57          66          65
          57          58          67          66
          58          59          68          67
          59          60          69          68
          60          61          70          69
          61          62          71          70
          62          63          72          71
          64          65          74          73
          65          66          75          74
          66          67          76          75
          67          68          77          76
          68          69          78          77
          69          70          79          78
          70          71          80          79
          71          72          81          80
           9          82          90          18
          82          83          91          90
          83          84          92          91
          84          85          93          92
          85          86          94          93
          86          87          95          94
          87          88          96          95
          88          89          97          96
          18          90          98          27
          90          91          99          98
          91          92         100          99
          92          93         101         100
          93          94         102         101
          94          95         103         102
          95          96         104         103
          96          97         105         104
          27          98         106          36
          98          99         107         106
          99         100         108         107
         100         101         109         108
         101         102         110         109
         102         103         111         110
         103         104         112         111
         104         105         113         112
          36         106         114          45
         106         107         115         114
         107         108         116         115
         108         109         117         116
         109         110         118         117
         110         111         119         118
         111         112         120         119
         112         113         121         120
          45         114         122          54
         114         115         123         122
         115         116         124         123
         116         117         125         124
         117         118         126         125
         118         119         127         126
         119         120         128         127
         120         121         129         128
          54         122         130          63
         122         123         131         130
         123         124         132         131
         124         125         133         132
         125         126         134         133
         126         127         135         134
         127         128         136         135
         128         129         137         136
          63         130         138          72
         130         131         139         138
         131         132         140         139
         132         133         141         140
         133         134         142         141
         134         135         143         142
         135         136         144         143
         136         137         145         144
          72         138         146          81
         138         139         147         146
         139         140         148         147
         140         141         149         148
         141         142         150         149
         142         143         151         150
