     -> Errors: nel=     64 ; errv= 0.00086489 ; errp= 0.01638793
     -> Errors: nel=     81 ; errv= 0.00069595 ; errp= 0.01384379
     -> Errors: nel=    100 ; errv= 0.00057175 ; errp= 0.01188144
     -> Errors: nel=    121 ; errv= 0.00047787 ; errp= 0.01033307
     -> Errors: nel=    144 ; errv= 0.00040524 ; errp= 0.00908761
     -> Errors: nel=    169 ; errv= 0.00034792 ; errp= 0.00806915
     -> Errors: nel=    196 ; errv= 0.00030192 ; errp= 0.00722438
     -> Errors: nel=    225 ; errv= 0.00026445 ; errp= 0.00651493
     -> Errors: nel=    256 ; errv= 0.00023352 ; errp= 0.00591260
     -> Errors: nel=    289 ; errv= 0.00020771 ; errp= 0.00539626
     -> Errors: nel=    324 ; errv= 0.00018594 ; errp= 0.00494982
     -> Errors: nel=    361 ; errv= 0.00016741 ; errp= 0.00456082
     -> Errors: nel=    400 ; errv= 0.00015152 ; errp= 0.00421953
     -> Errors: nel=    441 ; errv= 0.00013778 ; errp= 0.00391819
     -> Errors: nel=    484 ; errv= 0.00012583 ; errp= 0.00365062
     -> Errors: nel=    529 ; errv= 0.00011537 ; errp= 0.00341178
     -> Errors: nel=    576 ; errv= 0.00010616 ; errp= 0.00319756
     -> Errors: nel=    625 ; errv= 0.00009800 ; errp= 0.00300459
     -> Errors: nel=    676 ; errv= 0.00009075 ; errp= 0.00283004
     -> Errors: nel=    729 ; errv= 0.00008428 ; errp= 0.00267156
     -> Errors: nel=    784 ; errv= 0.00007847 ; errp= 0.00252717
     -> Errors: nel=    841 ; errv= 0.00007324 ; errp= 0.00239519
     -> Errors: nel=    900 ; errv= 0.00006852 ; errp= 0.00227418
     -> Errors: nel=    961 ; errv= 0.00006424 ; errp= 0.00216292
     -> Errors: nel=   1024 ; errv= 0.00006035 ; errp= 0.00206034
     -> Errors: nel=   1089 ; errv= 0.00005680 ; errp= 0.00196555
     -> Errors: nel=   1156 ; errv= 0.00005356 ; errp= 0.00187773
     -> Errors: nel=   1225 ; errv= 0.00005058 ; errp= 0.00179619
     -> Errors: nel=   1296 ; errv= 0.00004785 ; errp= 0.00172033
     -> Errors: nel=   1369 ; errv= 0.00004533 ; errp= 0.00164962
     -> Errors: nel=   1444 ; errv= 0.00004301 ; errp= 0.00158357
     -> Errors: nel=   1521 ; errv= 0.00004085 ; errp= 0.00152177
     -> Errors: nel=   1600 ; errv= 0.00003886 ; errp= 0.00146386
     -> Errors: nel=   1681 ; errv= 0.00003701 ; errp= 0.00140949
     -> Errors: nel=   1764 ; errv= 0.00003529 ; errp= 0.00135838
     -> Errors: nel=   1849 ; errv= 0.00003368 ; errp= 0.00131025
     -> Errors: nel=   1936 ; errv= 0.00003219 ; errp= 0.00126488
     -> Errors: nel=   2025 ; errv= 0.00003079 ; errp= 0.00122205
     -> Errors: nel=   2116 ; errv= 0.00002948 ; errp= 0.00118156
     -> Errors: nel=   2209 ; errv= 0.00002825 ; errp= 0.00114323
     -> Errors: nel=   2304 ; errv= 0.00002710 ; errp= 0.00110692
     -> Errors: nel=   2401 ; errv= 0.00002601 ; errp= 0.00107248
     -> Errors: nel=   2500 ; errv= 0.00002499 ; errp= 0.00103977
     -> Errors: nel=   2601 ; errv= 0.00002403 ; errp= 0.00100868
     -> Errors: nel=   2704 ; errv= 0.00002312 ; errp= 0.00097909
     -> Errors: nel=   2809 ; errv= 0.00002227 ; errp= 0.00095092
     -> Errors: nel=   2916 ; errv= 0.00002146 ; errp= 0.00092406
     -> Errors: nel=   3025 ; errv= 0.00002069 ; errp= 0.00089843
     -> Errors: nel=   3136 ; errv= 0.00001996 ; errp= 0.00087395
     -> Errors: nel=   3249 ; errv= 0.00001927 ; errp= 0.00085056
     -> Errors: nel=   3364 ; errv= 0.00001862 ; errp= 0.00082819
     -> Errors: nel=   3481 ; errv= 0.00001800 ; errp= 0.00080677
     -> Errors: nel=   3600 ; errv= 0.00001741 ; errp= 0.00078625
     -> Errors: nel=   3721 ; errv= 0.00001685 ; errp= 0.00076659
     -> Errors: nel=   3844 ; errv= 0.00001631 ; errp= 0.00074772
     -> Errors: nel=   3969 ; errv= 0.00001580 ; errp= 0.00072961
     -> Errors: nel=   4096 ; errv= 0.00001532 ; errp= 0.00071222
