# Bed and surface elevations along transect, interpolated from BedMachine
# Distance is measured in meters from westpoint of segment. Height in meters wrt sealevel.
# Linear interpolation of 2D elevation map. Oversampled at dx = 50m.
# True BedMachine resolution between 150m to about 1000m.
# Location of CC: distance = 138300.0 m.
# distance	bed_height	surf_height
0.0	625.3733174718304	1014.0335389667254
50.0	624.8722581797517	1015.7645306991917
100.0	624.2797213789145	1017.4016798492414
150.0	622.924541367422	1018.2983415209427
200.0	619.3880296670196	1017.0893656916913
250.0	615.8662375926167	1015.8916237365196
300.0	612.6034372801414	1014.9702366070919
350.0	610.1929762195965	1014.9667553585222
400.0	607.834966695008	1015.0114966883327
450.0	605.6225264624295	1015.2311663388824
500.0	603.6687686898636	1015.8218811861135
550.0	601.5774438213641	1016.2712171864068
600.0	599.441924005826	1016.718839397585
650.0	597.6660661876047	1017.68998571674
700.0	596.017106897123	1018.7857973344854
750.0	594.5481167648387	1020.1685764660854
800.0	593.3411600438825	1022.2219152113834
850.0	592.1557752508849	1024.2968999342968
900.0	589.9295629702005	1025.410934948186
950.0	583.4586355087262	1022.5927889211129
1000.0	576.8115520520662	1019.6001096698991
1050.0	570.7274114678477	1017.133603204136
1100.0	567.6385375050895	1017.5080013961219
1150.0	564.6459271871295	1017.9807628114622
1200.0	561.6335818566644	1018.2865443962755
1250.0	558.1549682535548	1017.4932943727791
1300.0	554.5626958639344	1016.5415537567005
1350.0	551.0672272209292	1015.485859356679
1400.0	548.3464936841142	1014.4127835853999
1450.0	545.7108720950964	1013.4295770005456
1500.0	543.6738830322372	1012.9366220628677
1550.0	544.0736796930216	1014.3628286173584
1600.0	544.5007591354165	1015.8265711211542
1650.0	544.7075749285525	1017.0028473167612
1700.0	543.7059567880509	1016.604550227001
1750.0	542.6791437049075	1016.192416688808
1800.0	542.0501421088925	1016.1430501914377
1850.0	543.5454922987017	1017.9904571261013
1900.0	544.9964650737759	1019.8015598642045
1950.0	546.1010093172235	1021.2291483035983
2000.0	545.6141955307564	1020.8278657232165
2050.0	545.2120078541234	1020.5138497549049
2100.0	544.6238850354857	1019.9617647727082
2150.0	542.5167266320768	1017.5820789252125
2200.0	540.3650291689619	1015.1577321069981
2250.0	538.871497689906	1013.3473083962166
2300.0	541.6396466801748	1015.5353825090417
