# Surface temperature values from CC to NEEM extracted manually from figure 4 of Yardim (2022).
# Rounded to 1 decimal to remove artificial precision# distance from CC (m)	surf_temp (K)
-0.02662964284541256	247.66582351256125
10.411388306267693	247.0462544521082
15.52389577425707	247.00292787480583
21.062434865736574	247.01014893245815
26.60097395721614	246.69819808493594
32.24603162007717	246.52055937252365
37.678060672582355	246.30825946768604
42.684058101597415	246.2750424867912
48.1160871541026	246.26926564066935
53.33509612865915	246.2317160251831
59.19317386946884	246.0959596785427
64.30567280505105	246.09018283242088
69.84421189653058	245.88077135064418
75.16974797487583	245.9024344079068
86.45984623578354	245.59337204129267
91.57234517136574	245.52260544491156
96.89788124971099	245.41284490581947
102.32990176980897	245.75512442686988
107.76193935472136	245.29153067448368
113.51349852414954	245.4821674063644
118.73251603111326	245.43739661753156
124.48407520054143	245.30019594366647
129.91611278545386	245.28286540530092
135.66767195488202	245.0185736539782
141.41924818912454	245.1456647314358
153.02888509936247	244.7225091911382
158.35440411289332	244.67340588340826
169.5380008672339	244.46110597857066
175.07653995871343	244.4466636318775
180.5085775436258	244.35567807406994
186.26013671305398	244.23436384273415
191.4791542200177	244.25313870832443
197.12421188287874	244.108716976807
202.4497308964096	244.00328918800056
208.0947714944563	243.9599626106982
213.52680907936866	243.85164639883084
219.06536523566254	243.8588673407889
225.34948313236956	243.76066072532902
230.56848357451895	243.83287130185204
235.46796243215252	243.73899743667783
240.47395986116754	243.70289180133352
245.90599744607997	243.54402807020574
246.46048005094232	243.54640967531367
251.2714975887967	243.52592539168924
257.3196096518605	243.55758268844167
