# Velocities along transect, interpolated from C3S annual ice velocity map of Greenland 2021
# Distance is measured in meters from westpoint of segment. Velocities in m/yr.
# Linear interpolation of 2D velocity map. Oversampled at dx = 50m.
# Horizontal resolution of 250 m.
# Location of CC: distance = 138300.0 m.
# distance	vel_east	vel_north	vel_proj
0.0	-3.4836527329141362	7.569682711918537	2.9707755202545565
50.0	-3.5213085308336662	7.61423770969453	3.005374306636411
100.0	-3.559150677355721	7.659329639128327	3.0401231976957526
150.0	-3.597179172480125	7.704958500219441	3.0750221934324387
200.0	-3.635394016207138	7.751124292968443	3.11007129384669
250.0	-3.653837620595335	7.803759318574577	3.1249615400006086
300.0	-3.605939209753645	7.875880498746743	3.072357355748637
350.0	-3.5568980876220926	7.947593767209726	3.0186402264011627
400.0	-3.506714254200848	8.018899123963829	2.963810151958335
450.0	-3.4553877094903513	8.089796569009234	2.9078671324205807
500.0	-3.413493032313915	8.177409327308437	2.8602195724517387
550.0	-3.4114389478492435	8.325190326099897	2.848308877531368
600.0	-3.4108965192111533	8.471628961732545	2.837996042961333
650.0	-3.4105155705988075	8.616128965900833	2.827973690269936
700.0	-3.4102961020122367	8.758690338604927	2.8182418194571968
750.0	-3.412059634412156	8.901740479234094	2.8104559151741246
800.0	-3.4205577614131544	9.053695352883759	2.808795396742808
850.0	-3.4287988657117574	9.206596535371276	2.8068152827986745
900.0	-3.4367829473080453	9.360444026697676	2.804515573341736
950.0	-3.444510006201898	9.515237826861618	2.8018962683719617
1000.0	-3.450307739060909	9.656494882205525	2.798255222729476
1050.0	-3.449290788685675	9.739595980343546	2.7916953361757226
1100.0	-3.448273838310369	9.822018664013445	2.7851807191295155
1150.0	-3.4472568879351346	9.90376293321653	2.7787113715909117
1200.0	-3.446239937559829	9.984828787951653	2.7722872935598453
1250.0	-3.453536090662212	10.059654952570204	2.7745741550673055
1300.0	-3.496098240649383	10.110960170617187	2.813617926771287
1350.0	-3.537699442317275	10.163491488355977	2.851621076277015
1400.0	-3.5783396956661466	10.217248905787482	2.888583603584687
1450.0	-3.618019000695575	10.27223242291074	2.924505508693944
1500.0	-3.682036478837191	10.32038782319332	2.985166970701205
1550.0	-3.863332041589816	10.332051528269185	3.165280157416887
1600.0	-4.044863772641974	10.34443232916096	3.3455811354029286
1650.0	-4.2266316719940935	10.357530225868892	3.5260699046597415
1700.0	-4.4086357396457405	10.371345218392495	3.7067464651869226
1750.0	-4.566707346155905	10.376600549888359	3.8641150782240654
1800.0	-4.603834088838505	10.335418791820972	3.903907064525125
1850.0	-4.64168552137725	10.294042611086319	3.9444350989891075
1900.0	-4.680261643772162	10.252472007684695	3.9856991816160185
1950.0	-4.719562456023027	10.210706981615644	4.027699312405674
2000.0	-4.7673138867782425	10.171842636598216	4.077937668979349
2050.0	-4.856901424799232	10.149868182839906	4.168791852226432
2100.0	-4.945349107550248	10.128016727134408	4.258500513276801
2150.0	-5.032656935030806	10.106288269481343	4.347063652129997
2200.0	-5.118824907241127	10.0846828098809	4.434481268786227
2250.0	-5.196181115642826	10.06228571714035	4.5131595859041
2300.0	-5.227420319004806	10.034274082175337	4.546198334010579
2350.0	-5.258867185078211	10.005889501104013	4.579469168079593
2400.0	-5.290521713862569	9.977131973925918	4.612972088110704
2450.0	-5.322383905358297	9.94800150064157	4.646707094104292
2500.0	-5.349748440758713	9.91840616236785	4.675985488176233
2550.0	-5.346453512336203	9.888129199279701	4.674718236674678
2600.0	-5.343284294486574	9.857997472845009	4.673566724150809
2650.0	-5.340240787209375	9.828010983063228	4.67253095060421
2700.0	-5.337322990505049	9.798169729934921	4.671610916035288
2750.0	-5.335565996107392	9.770096415537799	4.671731124838637
2800.0	-5.341649705209706	9.754320531516651	4.678853973827258
2850.0	-5.348243004885341	9.739394219945472	4.68642858699718
2900.0	-5.355345895133943	9.725317480823865	4.694454964348074
2950.0	-5.362958375955818	9.712090314152178	4.7029331058802235
3000.0	-5.368256067514472	9.700709689923102	4.708978400594068
3050.0	-5.350910134054299	9.698154130454917	4.691841656528652
3100.0	-5.333484955895896	9.696300539677736	4.674579003144346
3150.0	-5.315980533039369	9.695148917591656	4.657190440441246
3200.0	-5.2983968654848885	9.694699264196652	4.639675968419528
3250.0	-5.280664032761173	9.69608334082713	4.6218903018325435
3300.0	-5.2620485723058925	9.708322390175312	4.602499639843569
3350.0	-5.243050651605321	9.720982957009394	4.582699242860839
3400.0	-5.223670270659575	9.734065041329357	4.562489110884469
3450.0	-5.203907429468888	9.747568643135077	4.541869243914702
3500.0	-5.183276431452801	9.764655330595831	4.52014406153779
3550.0	-5.157566075526386	9.814824804351257	4.491143281057088
3600.0	-5.13211877308755	9.865052094404591	4.462401109775601
3650.0	-5.1069345241366415	9.915337200755667	4.433917547693687
3700.0	-5.0820133286733595	9.965680123404601	4.405692594811039
3750.0	-5.057685508485986	10.014804911845772	4.378140978814601
3800.0	-5.037516452763679	10.048214104091786	4.355787534620793
3850.0	-5.017450409307207	10.080952008584996	4.333581667050058
3900.0	-4.997487378116827	10.113018625325312	4.3115233761026595
3950.0	-4.977627359192287	10.144413954312776	4.289612661778343
4000.0	-4.957511180848568	10.17604485461429	4.26743063967352
4050.0	-4.932456805477701	10.220747232184292	4.239449188229601
4100.0	-4.907672084567878	10.266261786000868	4.211682595018427
4150.0	-4.8831570181193005	10.312588516064041	4.184130860040197
4200.0	-4.85891160613179	10.35972742237385	4.1567939832947305
4250.0	-4.834272238240385	10.40265364436805	4.129345134360293
4300.0	-4.795370369042437	10.357750841696316	4.0935262624344055
