0	 -137.7988
130	 -137.7987
260	 -137.8050
391	 -137.7794
521	 -137.7507
651	 -137.7365
781	 -137.7030
911	 -137.6756
1042	 -137.6427
1172	 -137.5981
1302	 -137.5257
1432	 -137.4512
1562	 -137.3963
1693	 -137.3251
1823	 -137.2347
1953	 -137.1551
2083	 -137.0679
2214	 -136.9721
2344	 -136.8644
2474	 -136.7485
2604	 -136.6276
2734	 -136.4960
2865	 -136.3620
2995	 -136.2014
3125	 -136.0837
3255	 -135.9448
3385	 -135.7634
3516	 -135.6085
3646	 -135.4377
3776	 -135.2491
3906	 -135.0689
4036	 -134.8943
4167	 -134.6911
4297	 -134.4561
4427	 -134.2606
4557	 -134.0679
4688	 -133.8238
4818	 -133.5706
4948	 -133.3480
5078	 -133.1236
5208	 -132.8679
5339	 -132.5918
5469	 -132.3190
5599	 -132.0587
5729	 -131.7998
5859	 -131.5084
5990	 -131.2018
6120	 -130.9170
6250	 -130.6015
6380	 -130.2959
6510	 -129.9847
6641	 -129.6520
6771	 -129.3094
6901	 -128.9947
7031	 -128.6400
7161	 -128.2564
7292	 -127.9153
7422	 -127.5601
7552	 -127.1938
7682	 -126.8076
7813	 -126.4163
7943	 -126.0226
8073	 -125.6209
8203	 -125.2147
8333	 -124.8077
8464	 -124.3874
8594	 -123.9589
8724	 -123.5419
8854	 -123.0809
8984	 -122.6101
9115	 -122.1680
9245	 -121.7255
9375	 -121.2542
9505	 -120.7621
9635	 -120.2922
9766	 -119.8008
9896	 -119.3141
10026	 -118.8019
10156	 -118.2886
10286	 -117.8007
10417	 -117.2348
10547	 -116.7066
10677	 -116.1869
10807	 -115.6427
10938	 -115.1088
11068	 -114.5389
11198	 -113.9643
11328	 -113.3817
11458	 -112.8181
11589	 -112.2344
11719	 -111.6378
11849	 -111.0399
11979	 -110.4359
12109	 -109.8337
12240	 -109.2060
12370	 -108.5771
12500	 -107.9227
12630	 -107.2997
12760	 -106.6638
12891	 -105.9930
13021	 -105.3562
13151	 -104.6626
13281	 -103.9681
13411	 -103.3186
13542	 -102.6378
13672	 -101.9239
13802	 -101.2290
13932	 -100.5266
14063	  -99.8006
14193	  -99.0719
14323	  -98.3567
14453	  -97.6316
14583	  -96.8683
14714	  -96.1244
14844	  -95.3834
14974	  -94.6100
15104	  -93.8446
15234	  -93.0711
15365	  -92.2722
15495	  -91.4864
15625	  -90.6980
15755	  -89.9007
15885	  -89.1030
16016	  -88.2855
16146	  -87.4596
16276	  -86.6226
16406	  -85.7870
16536	  -84.9488
16667	  -84.0983
16797	  -83.2499
16927	  -82.3886
17057	  -81.5211
17188	  -80.6524
17318	  -79.7813
17448	  -78.9043
17578	  -78.0037
17708	  -77.0841
17839	  -76.1894
17969	  -75.2942
18099	  -74.3658
18229	  -73.4441
18359	  -72.5214
18490	  -71.5834
18620	  -70.6314
18750	  -69.6835
18880	  -68.7352
19010	  -67.7761
19141	  -66.8125
19271	  -65.8409
19401	  -64.8579
19531	  -63.8685
19661	  -62.8790
19792	  -61.8908
19922	  -60.8908
20052	  -59.8774
20182	  -58.8692
20312	  -57.8412
20443	  -56.8116
20573	  -55.7939
20703	  -54.7557
20833	  -53.6992
20964	  -52.6484
21094	  -51.5961
21224	  -50.5337
21354	  -49.4610
21484	  -48.3927
21615	  -47.3294
21745	  -46.2468
21875	  -45.1558
22005	  -44.0617
22135	  -42.9537
22266	  -41.8520
22396	  -40.7480
22526	  -39.6243
22656	  -38.5037
22786	  -37.3823
22917	  -36.2474
23047	  -35.1102
23177	  -33.9704
23307	  -32.8198
23438	  -31.6667
23568	  -30.5127
23698	  -29.3534
23828	  -28.1825
23958	  -27.0133
24089	  -25.8400
24219	  -24.6540
24349	  -23.4724
24479	  -22.2658
24609	  -21.0613
24740	  -19.8775
24870	  -18.6645
25000	  -17.4614
25130	  -16.2591
25260	  -15.0315
25391	  -13.8015
25521	  -12.5673
25651	  -11.3469
25781	  -10.1163
25911	   -8.8729
26042	   -7.6290
26172	   -6.3814
26302	   -5.1257
26432	   -3.8673
26562	   -2.6065
26693	   -1.3518
26823	   -0.0873
26953	    1.1976
27083	    2.4680
27214	    3.7376
27344	    5.0225
27474	    6.3170
27604	    7.6046
27734	    8.8834
27865	   10.1783
27995	   11.4847
28125	   12.7780
28255	   14.0759
28385	   15.3963
28516	   16.7022
28646	   18.0067
28776	   19.3262
28906	   20.6442
29036	   21.9604
29167	   23.2756
29297	   24.6040
29427	   25.9348
29557	   27.2566
29688	   28.5860
29818	   29.9219
29948	   31.2519
30078	   32.5872
30208	   33.9254
30339	   35.2609
30469	   36.6026
30599	   37.9431
30729	   39.2834
