50000 166.65
49804 166.64
49609 166.63
49413 166.6
49217 166.55
49022 166.49
48826 166.39
48630 166.24
48435 166.13
48239 166.02
48043 165.84
47848 165.65
47652 165.48
47456 165.22
47260 164.98
46869 164.37
46673 164.04
46478 163.67
46282 163.25
46086 162.77
45890 162.38
45695 161.88
45499 161.31
45303 160.73
45107 160.03
44911 159.43
44716 158.74
44520 157.93
44324 157.19
44128 156.3
43932 155.39
43736 154.47
43541 153.51
43345 152.56
43149 151.49
42954 150.41
42758 149.22
42562 148.15
42366 146.97
42170 145.75
41975 144.4
41779 143.14
41583 141.82
41388 140.46
41192 139.1
40996 137.66
40801 136.21
40605 134.73
40409 133.23
40214 131.74
40018 130.18
39823 128.56
39627 127.02
39431 125.44
39236 123.82
39040 122.14
38845 120.48
38649 118.75
38453 117.06
38258 115.34
38062 113.58
37867 111.8
37671 110.07
37476 108.24
37280 106.46
37085 104.63
36889 102.83
36694 100.97
36498 99.137
36303 97.272
36108 95.392
35912 93.517
35717 91.622
35521 89.698
35326 87.779
35130 85.844
34935 83.932
34740 81.978
34544 80.03
34349 78.086
34153 76.147
33958 74.185
33763 72.214
33567 70.223
33372 68.243
33177 66.284
32981 64.302
32786 62.317
32591 60.315
32395 58.324
32200 56.349
32005 54.356
31809 52.364
31614 50.385
31419 48.386
31223 46.396
31028 44.391
30833 42.401
30637 40.401
30442 38.417
30247 36.421
30052 34.456
29856 32.47
29661 30.479
29466 28.518
29270 26.553
29075 24.572
28880 22.594
28685 20.627
28489 18.683
28294 16.728
28099 14.782
27904 12.85
27709 10.914
27513 8.9866
27318 7.0663
27123 5.1367
26928 3.2361
26732 1.337
26537 -0.56474
26342 -2.4488
26147 -4.3313
25756 -8.0666
25561 -9.9162
25366 -11.767
25171 -13.602
24976 -15.429
24585 -19.066
24390 -20.88
24195 -22.661
24000 -24.432
23804 -26.209
23609 -27.976
23414 -29.71
23219 -31.475
23024 -33.217
22829 -34.927
22633 -36.621
22438 -38.322
22243 -40.022
22048 -41.7
21853 -43.361
21658 -45.03
21462 -46.661
21267 -48.286
21072 -49.889
20877 -51.514
20682 -53.096
20487 -54.675
20292 -56.238
20096 -57.799
19901 -59.343
19706 -60.882
19511 -62.372
19316 -63.884
19121 -65.4
18926 -66.885
18731 -68.324
18535 -69.797
18340 -71.21
18145 -72.644
17950 -74.036
17755 -75.455
17560 -76.835
17365 -78.186
17169 -79.562
16974 -80.886
16779 -82.233
16584 -83.561
16389 -84.845
16194 -86.121
15999 -87.39
15804 -88.642
15608 -89.877
15413 -91.109
15218 -92.34
15023 -93.527
14828 -94.722
14633 -95.891
14438 -97.056
14243 -98.193
14048 -99.323
13852 -100.4
13657 -101.51
13462 -102.6
13267 -103.68
13072 -104.74
12877 -105.76
12682 -106.8
12487 -107.78
12292 -108.77
12096 -109.74
11901 -110.69
11706 -111.66
11511 -112.58
11316 -113.49
11121 -114.4
10926 -115.28
10731 -116.17
10536 -117.02
10340 -117.81
10145 -118.68
9950.3 -119.48
9755.2 -120.26
9560 -121.03
9364.9 -121.81
9169.8 -122.52
8974.7 -123.27
8779.6 -124
8584.5 -124.71
8389.4 -125.37
8194.3 -126.05
7999.2 -126.69
7804.1 -127.31
7609 -127.95
7413.9 -128.55
7218.8 -129.13
7023.7 -129.68
6828.6 -130.27
6633.5 -130.82
6438.4 -131.34
6243.3 -131.85
6048.1 -132.34
5853 -132.83
5657.9 -133.28
5462.8 -133.75
5072.7 -134.6
4877.6 -135
4682.5 -135.38
4487.4 -135.75
4292.2 -136.11
4097.1 -136.42
3902 -136.76
3706.9 -137.08
3511.8 -137.36
3121.6 -137.91
2731.4 -138.38
2536.3 -138.59
2341.2 -138.79
2146.1 -138.95
1951 -139.12
1755.9 -139.3
1560.8 -139.42
1170.6 -139.63
975.5 -139.72
780.4 -139.8
585.29 -139.85
390.18 -139.89
0 -139.89
