           1   5.0000000000000005E+024   5.0000000000000005E+024
           2   2.5883572923372592E+020   2.3651364324046178E+022
           3   9.4678504193339385E+020   4.4888720668211511E+023
           4   9.3544200254200322E+020   3.9241752368988435E+023
           5   9.2535290350605042E+020   6.2881214506977594E+023
           6   9.1321406648102512E+020   8.7177317226870160E+023
           7   9.0098988400040188E+020   1.1780383401667818E+024
           8   8.8881986060901365E+020   1.5062219331186482E+024
           9   8.7708626697386826E+020   1.8375623156812914E+024
          10   8.6590565601503779E+020   2.1433509408346120E+024
          11   8.5537718795417472E+020   2.4083081312005480E+024
          12   8.4552174495249990E+020   2.6262405712592449E+024
          13   8.3632747426096769E+020   2.7997260493756766E+024
          14   8.2778053519712072E+020   2.9352287606644422E+024
          15   8.1983755054503035E+020   3.0403175257874710E+024
          16   8.1245834404729284E+020   3.1219147507397534E+024
          17   8.0560514308654734E+020   3.1857060597099973E+024
          18   7.9924217747642371E+020   3.2361116381653864E+024
          19   7.9334456201032093E+020   3.2764876098640113E+024
          20   7.8786698357532511E+020   3.3092893647676831E+024
          21   7.8277317699514270E+020   3.3363303404525287E+024
          22   7.7802946051374894E+020   3.3589570874971673E+024
          23   7.7362578962426495E+020   3.3781716415152898E+024
          24   7.6953260892339923E+020   3.3947214051446265E+024
          25   7.6571863815871948E+020   3.4091797527480753E+024
          26   7.6218098315174203E+020   3.4219991925224745E+024
          27   7.5888434860909383E+020   3.4335152299846558E+024
          28   7.5580983625297507E+020   3.4439811844717001E+024
          29   7.5294672447722566E+020   3.4535941775361546E+024
          30   7.5027223800938365E+020   3.4625126557509980E+024
          31   7.4778986476021599E+020   3.4708679334564168E+024
          32   7.4546871598615246E+020   3.4787717475592648E+024
          33   7.4331076243705666E+020   3.4863070255842031E+024
          34   7.4129062446555542E+020   3.4935344093972988E+024
          35   7.3941743433694079E+020   3.5005034988964240E+024
          36   7.3766791757911556E+020   3.5072601806578595E+024
          37   7.3603693138855841E+020   3.5138344287999707E+024
          38   7.3450962713656086E+020   3.5202499549993908E+024
          39   7.3309585518168559E+020   3.5265218193223362E+024
          40   7.3176504754433871E+020   3.5326646712070331E+024
          41   7.3051656411656395E+020   3.5386869956279661E+024
          42   7.2936619764718043E+020   3.5445958329992106E+024
          43   7.2828632352915508E+020   3.5503964136002735E+024
          44   7.2727643431489097E+020   3.5560922236127009E+024
          45   7.2633739814435409E+020   3.5616916080915181E+024
          46   7.2545345204531731E+020   3.5671946454056415E+024
          47   7.2463480216341001E+020   3.5726022706325296E+024
          48   7.2386394918524853E+020   3.5779105093578183E+024
          49   7.2315110542093477E+020   3.5831184164237783E+024
          50   7.2248789912626620E+020   3.5882233102295163E+024
          51   7.2186488835309004E+020   3.5932245189486731E+024
          52   7.2128033206123351E+020   3.5981202740736388E+024
          53   7.2074011533140374E+020   3.6029085810885436E+024
          54   7.2023130465884740E+020   3.6075879790034716E+024
          55   7.1976220848641855E+020   3.6121577567005119E+024
          56   7.1932165738742704E+020   3.6166188977833531E+024
          57   7.1891000065579522E+020   3.6209697448763745E+024
          58   7.1852348167934732E+020   3.6252096682752558E+024
          59   7.1816464423380897E+020   3.6293367154375802E+024
          60   7.1782689603881455E+020   3.6333517984534422E+024
          61   7.1751644511437508E+020   3.6372537561884916E+024
          62   7.1722696495706774E+020   3.6410420895302821E+024
          63   7.1695725139668710E+020   3.6447167402540483E+024
          64   7.1670790541569203E+020   3.6482774321629952E+024
          65   7.1647160648110375E+020   3.6517251671598960E+024
          66   7.1625300662752261E+020   3.6550608739816464E+024
          67   7.1604700881747090E+020   3.6582858779267248E+024
          68   7.1585647216627522E+020   3.6614020471887302E+024
          69   7.1567831671867743E+020   3.6644115477751084E+024
          70   7.1551277391540322E+020   3.6673155104509048E+024
          71   7.1536194721074459E+020   3.6701164967539100E+024
          72   7.1521948892499699E+020   3.6728162670206091E+024
          73   7.1508174036800792E+020   3.6754166200197141E+024
          74   7.1496013885564558E+020   3.6779205523938958E+024
          75   7.1483946467768349E+020   3.6803299215211329E+024
          76   7.1473054196736433E+020   3.6826461874799546E+024
          77   7.1463089986776308E+020   3.6848726613377295E+024
          78   7.1453970828692423E+020   3.6870108357797242E+024
          79   7.1445091003326031E+020   3.6890634207640625E+024
          80   7.1436810191040597E+020   3.6910321755587152E+024
          81   7.1429151451879545E+020   3.6929199236387575E+024
          82   7.1422198641650028E+020   3.6947291035181857E+024
          83   7.1416666804214484E+020   3.6964616874059559E+024
          84   7.1410328515532449E+020   3.6981208891392351E+024
          85   7.1404649597286128E+020   3.6997080812841740E+024
          86   7.1399400916192723E+020   3.7012262613637058E+024
          87   7.1394652569009285E+020   3.7026776739462518E+024
          88   7.1389970112244194E+020   3.7040637708339810E+024
          89   7.1386300980840995E+020   3.7053872191383941E+024
          90   7.1382046780804878E+020   3.7066502942552468E+024
          91   7.1379024801050132E+020   3.7078547833949911E+024
          92   7.1375486774973432E+020   3.7090036082759726E+024
          93   7.1372907127151709E+020   3.7100979433723577E+024
          94   7.1370002053150854E+020   3.7111402994780527E+024
          95   7.1367529965214053E+020   3.7121321640209157E+024
          96   7.1365035401526457E+020   3.7130760487638271E+024
          97   7.1363181211512603E+020   3.7139735946656567E+024
          98   7.1360792793239703E+020   3.7148263118538037E+024
          99   7.1358364930665454E+020   3.7156368620986807E+024
         100   7.1357038460140428E+020   3.7164056989405780E+024
         101   7.1355343711714751E+020   3.7171353390431236E+024
         102   7.1353491212725925E+020   3.7178266395054321E+024
         103   7.1352631524365894E+020   3.7184818901020720E+024
