#Points_Magnitude  strain_rate_tensor_Magnitude  velocity_Magnitude
1.158  4.3302e-10  3.89164e-11
1.159  4.3302e-10  3.93025e-11
1.16  4.3302e-10  3.96884e-11
1.161  4.3302e-10  4.00745e-11
1.162  4.3302e-10  4.04605e-11
1.163  4.3302e-10  4.08466e-11
1.164  4.3302e-10  4.12327e-11
1.165  4.36349e-10  4.16188e-11
1.166  4.36349e-10  4.20049e-11
1.167  4.36349e-10  4.2391e-11
1.168  4.36349e-10  4.27771e-11
1.169  4.36349e-10  4.31633e-11
1.17  4.36349e-10  4.35494e-11
1.171  4.36349e-10  4.39356e-11
1.172  4.42533e-10  4.43202e-11
1.173  4.42533e-10  4.46931e-11
1.174  4.42533e-10  4.50662e-11
1.175  4.42533e-10  4.54392e-11
1.176  4.42533e-10  4.58122e-11
1.177  4.42533e-10  4.61852e-11
1.178  4.42533e-10  4.65582e-11
1.179  4.42533e-10  4.69313e-11
1.18  4.44837e-10  4.73043e-11
1.181  4.44837e-10  4.76773e-11
1.182  4.44837e-10  4.80503e-11
1.183  4.44837e-10  4.84233e-11
1.184  4.44837e-10  4.87964e-11
1.185  4.44837e-10  4.91694e-11
1.186  4.44837e-10  4.95425e-11
1.187  4.44837e-10  4.99155e-11
1.188  4.45744e-10  5.02766e-11
1.189  4.45744e-10  5.06259e-11
1.19  4.45744e-10  5.09751e-11
1.191  4.45744e-10  5.13243e-11
1.192  4.45744e-10  5.16736e-11
1.193  4.45744e-10  5.20228e-11
1.194  4.45744e-10  5.2372e-11
1.195  4.45744e-10  5.27213e-11
1.196  4.41532e-10  5.30705e-11
1.197  4.41532e-10  5.34198e-11
1.198  4.41532e-10  5.3769e-11
1.199  4.41532e-10  5.41183e-11
1.2  4.41532e-10  5.44676e-11
1.201  4.41532e-10  5.48168e-11
1.202  4.41532e-10  5.51661e-11
1.203  4.41532e-10  5.55153e-11
1.204  4.42174e-10  5.58721e-11
1.205  4.42174e-10  5.62299e-11
1.206  4.42174e-10  5.65877e-11
1.207  4.42174e-10  5.69456e-11
1.208  4.42174e-10  5.73034e-11
1.209  4.42174e-10  5.76613e-11
1.21  4.42174e-10  5.80191e-11
1.211  4.48876e-10  5.8377e-11
1.212  4.48876e-10  5.87349e-11
1.213  4.48876e-10  5.90928e-11
1.214  4.48876e-10  5.94507e-11
1.215  4.48876e-10  5.98087e-11
1.216  4.48876e-10  6.01666e-11
1.217  4.48876e-10  6.05246e-11
1.218  4.48876e-10  6.08825e-11
1.219  4.69228e-10  6.12482e-11
1.22  4.69228e-10  6.16371e-11
1.221  4.69228e-10  6.20259e-11
1.222  4.69228e-10  6.24147e-11
1.223  4.69228e-10  6.28036e-11
1.224  4.69228e-10  6.31924e-11
1.225  4.69228e-10  6.35813e-11
1.226  4.69228e-10  6.39702e-11
1.227  4.66431e-10  6.4359e-11
1.228  4.66431e-10  6.47479e-11
1.229  4.66431e-10  6.51368e-11
1.23  4.66431e-10  6.55257e-11
1.231  4.66431e-10  6.59145e-11
1.232  4.66431e-10  6.63034e-11
1.233  4.66431e-10  6.66923e-11
1.234  4.66431e-10  6.70812e-11
1.235  4.58907e-10  6.7457e-11
1.236  4.58907e-10  6.7825e-11
1.237  4.58907e-10  6.81929e-11
1.238  4.58907e-10  6.85609e-11
1.239  4.58907e-10  6.89289e-11
1.24  4.58907e-10  6.92969e-11
1.241  4.58907e-10  6.96649e-11
1.242  4.58907e-10  7.00329e-11
1.243  4.62755e-10  7.04009e-11
1.244  4.62755e-10  7.07689e-11
1.245  4.62755e-10  7.11369e-11
1.246  4.62755e-10  7.15049e-11
1.247  4.62755e-10  7.18729e-11
1.248  4.62755e-10  7.2241e-11
1.249  4.62755e-10  7.2609e-11
1.25  4.62755e-10  7.2977e-11
1.251  4.88629e-10  7.33838e-11
1.252  4.88629e-10  7.37906e-11
1.253  4.88629e-10  7.41974e-11
1.254  4.88629e-10  7.46042e-11
1.255  4.88629e-10  7.5011e-11
1.256  4.88629e-10  7.54179e-11
1.257  4.88629e-10  7.58247e-11
1.258  4.8961e-10  7.62315e-11
1.259  4.8961e-10  7.66383e-11
1.26  4.8961e-10  7.70451e-11
1.261  4.8961e-10  7.7452e-11
1.262  4.8961e-10  7.78588e-11
1.263  4.8961e-10  7.82656e-11
1.264  4.8961e-10  7.86725e-11
1.265  4.8961e-10  7.90793e-11
1.266  4.9644e-10  7.94827e-11
1.267  4.9644e-10  7.98803e-11
1.268  4.9644e-10  8.02779e-11
1.269  4.9644e-10  8.06755e-11
1.27  4.9644e-10  8.10731e-11
1.271  4.9644e-10  8.14707e-11
1.272  4.9644e-10  8.18683e-11
1.273  4.9644e-10  8.2266e-11
1.274  4.9086e-10  8.26636e-11
1.275  4.9086e-10  8.30612e-11
1.276  4.9086e-10  8.34589e-11
1.277  4.9086e-10  8.38565e-11
1.278  4.9086e-10  8.42541e-11
1.279  4.9086e-10  8.46518e-11
1.28  4.9086e-10  8.50494e-11
1.281  4.9086e-10  8.54471e-11
1.282  5.04267e-10  8.58775e-11
1.283  5.04267e-10  8.63189e-11
1.284  5.04267e-10  8.67603e-11
