#Points_Magnitude  strain_rate_tensor_Magnitude  velocity_Magnitude
1  1.47237e-09  5.4984e-11
1.001  1.47237e-09  5.47003e-11
1.002  1.47237e-09  5.44305e-11
1.003  1.47237e-09  5.41748e-11
1.004  1.47237e-09  5.39335e-11
1.005  1.47237e-09  5.37066e-11
1.006  1.47237e-09  5.34944e-11
1.007  1.47237e-09  5.32972e-11
1.008  1.47237e-09  5.31149e-11
1.009  1.47237e-09  5.29479e-11
1.01  1.47237e-09  5.27961e-11
1.011  1.47237e-09  5.26599e-11
1.012  1.47237e-09  5.25392e-11
1.013  1.47237e-09  5.24342e-11
1.014  1.47237e-09  5.23451e-11
1.015  1.47237e-09  5.22718e-11
1.016  1.47237e-09  5.22144e-11
1.017  1.47237e-09  5.2173e-11
1.018  1.47237e-09  5.21477e-11
1.019  1.47237e-09  5.21384e-11
1.02  1.47237e-09  5.21452e-11
1.021  1.47237e-09  5.2168e-11
1.022  1.47237e-09  5.22068e-11
1.023  1.47237e-09  5.22617e-11
1.024  1.47237e-09  5.23325e-11
1.025  1.47237e-09  5.24192e-11
1.026  1.47237e-09  5.25217e-11
1.027  1.47237e-09  5.26399e-11
1.028  1.47237e-09  5.27737e-11
1.029  1.47237e-09  5.29231e-11
1.03  1.47237e-09  5.30877e-11
1.031  1.47237e-09  5.32676e-11
1.032  3.57596e-09  5.43082e-11
1.033  3.57596e-09  5.57438e-11
1.034  3.57596e-09  5.72974e-11
1.035  3.57596e-09  5.89597e-11
1.036  3.57596e-09  6.07219e-11
1.037  3.57596e-09  6.25753e-11
1.038  3.57596e-09  6.45125e-11
1.039  3.57596e-09  6.65259e-11
1.04  3.57596e-09  6.86086e-11
1.041  3.57596e-09  7.07549e-11
1.042  3.57596e-09  7.29589e-11
1.043  3.57596e-09  7.52155e-11
1.044  3.57596e-09  7.75203e-11
1.045  3.57596e-09  7.98689e-11
1.046  3.57596e-09  8.22579e-11
1.047  3.38819e-09  8.46836e-11
1.048  3.38819e-09  8.71428e-11
1.049  3.38819e-09  8.96332e-11
1.05  3.38819e-09  9.21517e-11
1.051  3.38819e-09  9.46967e-11
1.052  3.38819e-09  9.72657e-11
1.053  3.38819e-09  9.98567e-11
1.054  3.38819e-09  1.02469e-10
1.055  3.38819e-09  1.05099e-10
1.056  3.38819e-09  1.07748e-10
1.057  3.38819e-09  1.10413e-10
1.058  3.38819e-09  1.13092e-10
1.059  3.38819e-09  1.15787e-10
1.06  3.38819e-09  1.18494e-10
1.061  3.38819e-09  1.21213e-10
1.062  3.38819e-09  1.23945e-10
1.063  4.90727e-09  1.27235e-10
1.064  4.90727e-09  1.31088e-10
1.065  4.90727e-09  1.34955e-10
1.066  4.90727e-09  1.38834e-10
1.067  4.90727e-09  1.42725e-10
1.068  4.90727e-09  1.46626e-10
1.069  4.90727e-09  1.50537e-10
1.07  4.90727e-09  1.54457e-10
1.071  4.90727e-09  1.58385e-10
1.072  4.90727e-09  1.62322e-10
1.073  4.90727e-09  1.66265e-10
1.074  4.90727e-09  1.70215e-10
1.075  4.90727e-09  1.74171e-10
1.076  4.90727e-09  1.78133e-10
1.077  4.90727e-09  1.82101e-10
1.078  4.90727e-09  1.86073e-10
1.079  4.89446e-09  1.9005e-10
1.08  4.89446e-09  1.94032e-10
1.081  4.89446e-09  1.98018e-10
1.082  4.89446e-09  2.02008e-10
1.083  4.89446e-09  2.06001e-10
1.084  4.89446e-09  2.09999e-10
1.085  4.89446e-09  2.13999e-10
1.086  4.89446e-09  2.18003e-10
1.087  4.89446e-09  2.22009e-10
1.088  4.89446e-09  2.26019e-10
1.089  4.89446e-09  2.30031e-10
1.09  4.89446e-09  2.34045e-10
1.091  4.89446e-09  2.38062e-10
1.092  4.89446e-09  2.42081e-10
1.093  4.89446e-09  2.46103e-10
1.094  5.90145e-09  2.50327e-10
1.095  5.90145e-09  2.55155e-10
1.096  5.90145e-09  2.59985e-10
1.097  5.90145e-09  2.64817e-10
1.098  5.90145e-09  2.69652e-10
1.099  5.90145e-09  2.74489e-10
1.1  5.90145e-09  2.79328e-10
1.101  5.90145e-09  2.84169e-10
1.102  5.90145e-09  2.89012e-10
1.103  5.90145e-09  2.93856e-10
1.104  5.90145e-09  2.98702e-10
1.105  5.90145e-09  3.0355e-10
1.106  5.90145e-09  3.08398e-10
1.107  5.90145e-09  3.13249e-10
1.108  5.90145e-09  3.18101e-10
1.109  5.90145e-09  3.22953e-10
1.11  5.92323e-09  3.27808e-10
1.111  5.92323e-09  3.32663e-10
1.112  5.92323e-09  3.3752e-10
1.113  5.92323e-09  3.42377e-10
1.114  5.92323e-09  3.47236e-10
1.115  5.92323e-09  3.52096e-10
1.116  5.92323e-09  3.56956e-10
1.117  5.92323e-09  3.61817e-10
1.118  5.92323e-09  3.6668e-10
1.119  5.92323e-09  3.71543e-10
1.12  5.92323e-09  3.76407e-10
1.121  5.92323e-09  3.81272e-10
1.122  5.92323e-09  3.86137e-10
1.123  5.92323e-09  3.91003e-10
1.124  5.92323e-09  3.9587e-10
1.125  5.92323e-09  4.00738e-10
1.126  6.56317e-09  4.06093e-10
1.127  6.56317e-09  4.11449e-10
1.128  6.56317e-09  4.16806e-10
1.129  6.56317e-09  4.22164e-10
1.13  6.56317e-09  4.27523e-10
1.131  6.56317e-09  4.32883e-10
1.132  6.56317e-09  4.38243e-10
1.133  6.56317e-09  4.43604e-10
1.134  6.56317e-09  4.48965e-10
1.135  6.56317e-09  4.54328e-10
1.136  6.56317e-09  4.59692e-10
1.137  6.56317e-09  4.65055e-10
1.138  6.56317e-09  4.7042e-10
1.139  6.56317e-09  4.75786e-10
1.14  6.56317e-09  4.81151e-10
1.141  6.56335e-09  4.86518e-10
1.142  6.56335e-09  4.91884e-10
1.143  6.56335e-09  4.97252e-10
1.144  6.56335e-09  5.0262e-10
1.145  6.56335e-09  5.07988e-10
1.146  6.56335e-09  5.13358e-10
1.147  6.56335e-09  5.18727e-10
1.148  6.56335e-09  5.24097e-10
1.149  6.56335e-09  5.29467e-10
1.15  6.56335e-09  5.34838e-10
1.151  6.56335e-09  5.40209e-10
1.152  6.56335e-09  5.4558e-10
1.153  6.56335e-09  5.50953e-10
1.154  6.56335e-09  5.56325e-10
1.155  6.56335e-09  5.61698e-10
1.156  6.56335e-09  5.67071e-10
1.157  7.13688e-09  5.72826e-10
1.158  7.13688e-09  5.7871e-10
1.159  7.13688e-09  5.84594e-10
1.16  7.13688e-09  5.90477e-10
1.161  7.13688e-09  5.96361e-10
1.162  7.13688e-09  6.02245e-10
1.163  7.13688e-09  6.08129e-10
1.164  7.13688e-09  6.14014e-10
1.165  7.13688e-09  6.19898e-10
1.166  7.13688e-09  6.25782e-10
1.167  7.13688e-09  6.31667e-10
1.168  7.13688e-09  6.37552e-10
1.169  7.13688e-09  6.43437e-10
1.17  7.13688e-09  6.49322e-10
1.171  7.13688e-09  6.55207e-10
1.172  7.12433e-09  6.61093e-10
1.173  7.12433e-09  6.66978e-10
1.174  7.12433e-09  6.72864e-10
1.175  7.12433e-09  6.7875e-10
1.176  7.12433e-09  6.84636e-10
1.177  7.12433e-09  6.90522e-10
1.178  7.12433e-09  6.96408e-10
1.179  7.12433e-09  7.02294e-10
1.18  7.12433e-09  7.0818e-10
1.181  7.12433e-09  7.14067e-10
1.182  7.12433e-09  7.19953e-10
1.183  7.12433e-09  7.2584e-10
1.184  7.12433e-09  7.31727e-10
1.185  7.12433e-09  7.37613e-10
1.186  7.12433e-09  7.435e-10
1.187  7.12433e-09  7.49387e-10
1.188  7.57471e-09  7.55461e-10
1.189  7.57471e-09  7.61721e-10
1.19  7.57471e-09  7.67982e-10
1.191  7.57471e-09  7.74242e-10
1.192  7.57471e-09  7.80503e-10
1.193  7.57471e-09  7.86763e-10
1.194  7.57471e-09  7.93024e-10
1.195  7.57471e-09  7.99285e-10
1.196  7.57471e-09  8.05546e-10
1.197  7.57471e-09  8.11807e-10
1.198  7.57471e-09  8.18068e-10
1.199  7.57471e-09  8.24329e-10
1.2  7.57471e-09  8.30591e-10
1.201  7.57471e-09  8.36852e-10
1.202  7.57471e-09  8.43114e-10
1.203  7.57471e-09  8.49375e-10
1.204  7.5702e-09  8.55637e-10
1.205  7.5702e-09  8.61898e-10
1.206  7.5702e-09  8.6816e-10
1.207  7.5702e-09  8.74422e-10
1.208  7.5702e-09  8.80683e-10
1.209  7.5702e-09  8.86945e-10
1.21  7.5702e-09  8.93207e-10
1.211  7.5702e-09  8.99469e-10
1.212  7.5702e-09  9.05731e-10
1.213  7.5702e-09  9.11994e-10
1.214  7.5702e-09  9.18256e-10
1.215  7.5702e-09  9.24518e-10
1.216  7.5702e-09  9.3078e-10
1.217  7.5702e-09  9.37042e-10
1.218  7.5702e-09  9.43305e-10
1.219  7.91079e-09  9.4962e-10
1.22  7.91079e-09  9.56093e-10
1.221  7.91079e-09  9.62565e-10
1.222  7.91079e-09  9.69038e-10
1.223  7.91079e-09  9.7551e-10
1.224  7.91079e-09  9.81983e-10
1.225  7.91079e-09  9.88456e-10
1.226  7.91079e-09  9.94928e-10
1.227  7.91079e-09  1.0014e-09
1.228  7.91079e-09  1.00787e-09
1.229  7.91079e-09  1.01435e-09
1.23  7.91079e-09  1.02082e-09
1.231  7.91079e-09  1.02729e-09
1.232  7.91079e-09  1.03377e-09
1.233  7.91079e-09  1.04024e-09
1.234  7.91079e-09  1.04671e-09
1.235  7.88429e-09  1.05319e-09
1.236  7.88429e-09  1.05966e-09
1.237  7.88429e-09  1.06613e-09
1.238  7.88429e-09  1.07261e-09
1.239  7.88429e-09  1.07908e-09
1.24  7.88429e-09  1.08555e-09
1.241  7.88429e-09  1.09203e-09
1.242  7.88429e-09  1.0985e-09
1.243  7.88429e-09  1.10497e-09
1.244  7.88429e-09  1.11145e-09
1.245  7.88429e-09  1.11792e-09
1.246  7.88429e-09  1.1244e-09
1.247  7.88429e-09  1.13087e-09
1.248  7.88429e-09  1.13734e-09
1.249  7.88429e-09  1.14382e-09
1.25  7.88429e-09  1.15029e-09
1.251  8.26019e-09  1.1571e-09
1.252  8.26019e-09  1.1639e-09
1.253  8.26019e-09  1.17071e-09
1.254  8.26019e-09  1.17751e-09
1.255  8.26019e-09  1.18432e-09
1.256  8.26019e-09  1.19112e-09
1.257  8.26019e-09  1.19793e-09
1.258  8.26019e-09  1.20473e-09
1.259  8.26019e-09  1.21154e-09
1.26  8.26019e-09  1.21834e-09
1.261  8.26019e-09  1.22515e-09
1.262  8.26019e-09  1.23195e-09
1.263  8.26019e-09  1.23876e-09
1.264  8.26019e-09  1.24556e-09
1.265  8.26019e-09  1.25237e-09
1.266  8.26082e-09  1.25917e-09
1.267  8.26082e-09  1.26598e-09
1.268  8.26082e-09  1.27279e-09
1.269  8.26082e-09  1.27959e-09
1.27  8.26082e-09  1.2864e-09
1.271  8.26082e-09  1.2932e-09
1.272  8.26082e-09  1.30001e-09
1.273  8.26082e-09  1.30681e-09
1.274  8.26082e-09  1.31362e-09
1.275  8.26082e-09  1.32042e-09
1.276  8.26082e-09  1.32723e-09
1.277  8.26082e-09  1.33403e-09
1.278  8.26082e-09  1.34084e-09
1.279  8.26082e-09  1.34765e-09
1.28  8.26082e-09  1.35445e-09
1.281  8.26082e-09  1.36126e-09
1.282  8.63664e-09  1.36832e-09
1.283  8.63664e-09  1.37547e-09
1.284  8.63664e-09  1.38262e-09
1.285  8.63664e-09  1.38977e-09
1.286  8.63664e-09  1.39692e-09
1.287  8.63664e-09  1.40406e-09
1.288  8.63664e-09  1.41121e-09
1.289  8.63664e-09  1.41836e-09
1.29  8.63664e-09  1.42551e-09
1.291  8.63664e-09  1.43266e-09
1.292  8.63664e-09  1.43981e-09
1.293  8.63664e-09  1.44696e-09
1.294  8.63664e-09  1.45411e-09
1.295  8.63664e-09  1.46125e-09
1.296  8.63664e-09  1.4684e-09
1.297  8.65648e-09  1.47555e-09
1.298  8.65648e-09  1.4827e-09
1.299  8.65648e-09  1.48985e-09
1.3  8.65648e-09  1.497e-09
1.301  8.65648e-09  1.50415e-09
1.302  8.65648e-09  1.5113e-09
1.303  8.65648e-09  1.51844e-09
1.304  8.65648e-09  1.52559e-09
1.305  8.65648e-09  1.53274e-09
1.306  8.65648e-09  1.53989e-09
1.307  8.65648e-09  1.54704e-09
1.308  8.65648e-09  1.55419e-09
1.309  8.65648e-09  1.56134e-09
1.31  8.65648e-09  1.56849e-09
1.311  8.65648e-09  1.57564e-09
1.312  8.65648e-09  1.58278e-09
