 1e17 8 0 256000 384000 4.91094e-12 -0.00533647 -714769 0
 1e17 32 0 256000 384000 1.96438e-11 -0.0213459 -2.85908e+06 0
 1e17 128 0 256000 384000 7.8575e-11 -0.0853835 -1.14363e+07 0
 2e17 8 0 256000 384000 3.43871e-12 -0.00533555 -714753 0
 2e17 32 0 256000 384000 1.37548e-11 -0.0213422 -2.85901e+06 0
 2e17 128 0 256000 384000 5.50193e-11 -0.0853688 -1.1436e+07 0
 4e17 8 0 256000 384000 4.13458e-12 -0.00533372 -714720 0
 4e17 32 0 256000 384000 1.65383e-11 -0.0213349 -2.85888e+06 0
 4e17 128 0 256000 384000 6.61533e-11 -0.0853395 -1.14355e+07 0
 8e17 8 0 256000 384000 -1.94941e-12 -0.00533006 -714655 0
 8e17 32 0 256000 384000 -7.79765e-12 -0.0213203 -2.85862e+06 0
 8e17 128 0 256000 384000 -3.11906e-11 -0.085281 -1.14345e+07 0
 16e17 8 0 256000 384000 5.66143e-12 -0.00532279 -714524 0
 16e17 32 0 256000 384000 2.26457e-11 -0.0212911 -2.8581e+06 0
 16e17 128 0 256000 384000 9.05829e-11 -0.0851646 -1.14324e+07 0
 32e17 8 0 256000 384000 -5.74256e-14 -0.00530838 -714268 0
 32e17 32 0 256000 384000 -2.29702e-13 -0.0212335 -2.85707e+06 0
 32e17 128 0 256000 384000 -9.18809e-13 -0.0849341 -1.14283e+07 0
 64e17 8 0 256000 384000 6.30408e-13 -0.00528013 -713770 0
 64e17 32 0 256000 384000 2.52163e-12 -0.0211205 -2.85508e+06 0
 64e17 128 0 256000 384000 1.00865e-11 -0.0844821 -1.14203e+07 0
 128e17 8 0 256000 384000 -1.21978e-12 -0.00522578 -712830 0
 128e17 32 0 256000 384000 -4.87912e-12 -0.0209031 -2.85132e+06 0
 128e17 128 0 256000 384000 -1.95165e-11 -0.0836124 -1.14053e+07 0
 256e17 8 0 256000 384000 -5.32025e-14 -0.00512478 -711152 0
 256e17 32 0 256000 384000 -2.1281e-13 -0.0204991 -2.84461e+06 0
 256e17 128 0 256000 384000 -8.5124e-13 -0.0819964 -1.13784e+07 0
 512e17 8 0 256000 384000 -1.29166e-12 -0.00494813 -708454 0
 512e17 32 0 256000 384000 -5.16666e-12 -0.0197925 -2.83382e+06 0
 512e17 128 0 256000 384000 -2.06666e-11 -0.07917 -1.13353e+07 0
 1024e17 8 0 256000 384000 -2.26347e-12 -0.00466704 -704891 0
