              x              y              u              v             ub             vb              V
  0.6600000E+03 -0.4550000E+03  0.1061498E+01 -0.7058746E+00  0.4725842E+00 -0.9910809E+00  0.1274769E+01
  0.6600000E+03 -0.4500000E+03  0.9853029E+00 -0.6663069E+00  0.3994874E+00 -0.9428486E+00  0.1189448E+01
  0.6600000E+03 -0.4450000E+03  0.9084573E+00 -0.6268282E+00  0.3268566E+00 -0.8955192E+00  0.1103725E+01
  0.6600000E+03 -0.4400000E+03  0.8308864E+00 -0.5875502E+00  0.2547283E+00 -0.8491084E+00  0.1017638E+01
  0.6600000E+03 -0.4350000E+03  0.7526427E+00 -0.5486773E+00  0.1831397E+00 -0.8036317E+00  0.9314063E+00
  0.6600000E+03 -0.4300000E+03  0.6737317E+00 -0.5102271E+00  0.1121289E+00 -0.7591041E+00  0.8451308E+00
  0.6600000E+03 -0.4250000E+03  0.5942391E+00 -0.4723212E+00  0.4173516E-01 -0.7155403E+00  0.7590833E+00
  0.6600000E+03 -0.4200000E+03  0.5141823E+00 -0.4351243E+00 -0.2800173E-01 -0.6729546E+00  0.6735849E+00
  0.6600000E+03 -0.4150000E+03  0.4336684E+00 -0.3986587E+00 -0.9704091E-01 -0.6313608E+00  0.5890645E+00
  0.6600000E+03 -0.4100000E+03  0.3527291E+00 -0.3629996E+00 -0.1653407E+00 -0.5907723E+00  0.5061487E+00
  0.6600000E+03 -0.4050000E+03  0.2714145E+00 -0.3282710E+00 -0.2328586E+00 -0.5512018E+00  0.4259433E+00
  0.6600000E+03 -0.4000000E+03  0.1898205E+00 -0.2945109E+00 -0.2995511E+00 -0.5126617E+00  0.3503833E+00
  0.6600000E+03 -0.3950000E+03  0.1080773E+00 -0.2618468E+00 -0.3653741E+00 -0.4751636E+00  0.2832745E+00
  0.6600000E+03 -0.3900000E+03  0.2611929E-01 -0.2302098E+00 -0.4302825E+00 -0.4387185E+00  0.2316868E+00
  0.6600000E+03 -0.3850000E+03 -0.5586533E-01 -0.1999146E+00 -0.4942305E+00 -0.4033368E+00  0.2075735E+00
  0.6600000E+03 -0.3800000E+03 -0.1376832E+00 -0.1707129E+00 -0.5571713E+00 -0.3690282E+00  0.2193162E+00
  0.6600000E+03 -0.3750000E+03 -0.2194226E+00 -0.1431326E+00 -0.6190576E+00 -0.3358016E+00  0.2619794E+00
  0.6600000E+03 -0.3700000E+03 -0.3009224E+00 -0.1165386E+00 -0.6798412E+00 -0.3036652E+00  0.3227004E+00
  0.6600000E+03 -0.3650000E+03 -0.3818546E+00 -0.9145972E-01 -0.7394733E+00 -0.2726264E+00  0.3926548E+00
  0.6600000E+03 -0.3600000E+03 -0.4629085E+00 -0.6790673E-01 -0.7979042E+00 -0.2426917E+00  0.4678628E+00
  0.6600000E+03 -0.3550000E+03 -0.5429173E+00 -0.4556669E-01 -0.8550837E+00 -0.2138667E+00  0.5448261E+00
  0.6600000E+03 -0.3500000E+03 -0.6224421E+00 -0.2493977E-01 -0.9109611E+00 -0.1861561E+00  0.6229416E+00
  0.6600000E+03 -0.3450000E+03 -0.7011037E+00 -0.5740436E-02 -0.9654847E+00 -0.1595637E+00  0.7011272E+00
  0.6600000E+03 -0.3400000E+03 -0.7790353E+00  0.1188806E-01 -0.1018603E+01 -0.1340923E+00  0.7791260E+00
  0.6600000E+03 -0.3350000E+03 -0.8558702E+00  0.2790458E-01 -0.1070262E+01 -0.1097435E+00  0.8563250E+00
  0.6600000E+03 -0.3300000E+03 -0.9318097E+00  0.4210634E-01 -0.1120411E+01 -0.8651796E-01  0.9327605E+00
  0.6600000E+03 -0.3250000E+03 -0.1006498E+01  0.5495768E-01 -0.1168994E+01 -0.6441531E-01  0.1007997E+01
  0.6600000E+03 -0.3200000E+03 -0.1079622E+01  0.6612891E-01 -0.1215959E+01 -0.4343392E-01  0.1081645E+01
  0.6600000E+03 -0.3150000E+03 -0.1151636E+01  0.7529968E-01 -0.1261252E+01 -0.2357102E-01  0.1154095E+01
  0.6600000E+03 -0.3100000E+03 -0.1221766E+01  0.8338860E-01 -0.1304816E+01 -0.4822647E-02  0.1224609E+01
  0.6600000E+03 -0.3050000E+03 -0.1290404E+01  0.8965553E-01 -0.1346599E+01  0.1281641E-01  0.1293515E+01
  0.6600000E+03 -0.3000000E+03 -0.1357237E+01  0.9427968E-01 -0.1386545E+01  0.2935264E-01  0.1360508E+01
  0.6600000E+03 -0.2950000E+03 -0.1422134E+01  0.9727517E-01 -0.1424599E+01  0.4479382E-01  0.1425457E+01
  0.6600000E+03 -0.2900000E+03 -0.1485008E+01  0.9866644E-01 -0.1460706E+01  0.5914905E-01  0.1488283E+01
  0.6600000E+03 -0.2850000E+03 -0.1545731E+01  0.9844926E-01 -0.1494810E+01  0.7242881E-01  0.1548863E+01
  0.6600000E+03 -0.2800000E+03 -0.1604193E+01  0.9664830E-01 -0.1526857E+01  0.8464493E-01  0.1607102E+01
  0.6600000E+03 -0.2750000E+03 -0.1660174E+01  0.9327774E-01 -0.1556792E+01  0.9581066E-01  0.1662792E+01
  0.6600000E+03 -0.2700000E+03 -0.1713837E+01  0.8814182E-01 -0.1584560E+01  0.1059407E+00  0.1716102E+01
  0.6600000E+03 -0.2650000E+03 -0.1764939E+01  0.8201118E-01 -0.1610107E+01  0.1150511E+00  0.1766844E+01
  0.6600000E+03 -0.2600000E+03 -0.1813101E+01  0.7428749E-01 -0.1633378E+01  0.1231594E+00  0.1814623E+01
  0.6600000E+03 -0.2550000E+03 -0.1858330E+01  0.6511669E-01 -0.1654320E+01  0.1302848E+00  0.1859471E+01
  0.6600000E+03 -0.2500000E+03 -0.1901081E+01  0.5428516E-01 -0.1672880E+01  0.1364476E+00  0.1901856E+01
  0.6600000E+03 -0.2450000E+03 -0.1940108E+01  0.4276974E-01 -0.1689005E+01  0.1416701E+00  0.1940579E+01
  0.6600000E+03 -0.2400000E+03 -0.1976251E+01  0.2977557E-01 -0.1702643E+01  0.1459756E+00  0.1976475E+01
  0.6600000E+03 -0.2350000E+03 -0.2009073E+01  0.1557569E-01 -0.1713743E+01  0.1493892E+00  0.2009134E+01
  0.6600000E+03 -0.2300000E+03 -0.2038420E+01  0.2105198E-03 -0.1722254E+01  0.1519374E+00  0.2038420E+01
  0.6600000E+03 -0.2250000E+03 -0.2064366E+01 -0.1646102E-01 -0.1728127E+01  0.1536483E+00  0.2064432E+01
  0.6600000E+03 -0.2200000E+03 -0.2086826E+01 -0.3349335E-01 -0.1731314E+01  0.1545514E+00  0.2087095E+01
  0.6600000E+03 -0.2150000E+03 -0.2105329E+01 -0.5162304E-01 -0.1731767E+01  0.1546777E+00  0.2105962E+01
  0.6600000E+03 -0.2100000E+03 -0.2119950E+01 -0.7061693E-01 -0.1729440E+01  0.1540596E+00  0.2121126E+01
  0.6600000E+03 -0.2050000E+03 -0.2131234E+01 -0.9046553E-01 -0.1724288E+01  0.1527312E+00  0.2133153E+01
  0.6600000E+03 -0.2000000E+03 -0.2137719E+01 -0.1104479E+00 -0.1716266E+01  0.1507279E+00  0.2140570E+01
  0.6600000E+03 -0.1950000E+03 -0.2140487E+01 -0.1312083E+00 -0.1705334E+01  0.1480863E+00  0.2144504E+01
  0.6600000E+03 -0.1900000E+03 -0.2139001E+01 -0.1524269E+00 -0.1691449E+01  0.1448447E+00  0.2144425E+01
  0.6600000E+03 -0.1850000E+03 -0.2133456E+01 -0.1738238E+00 -0.1674573E+01  0.1410427E+00  0.2140525E+01
  0.6600000E+03 -0.1800000E+03 -0.2123382E+01 -0.1953126E+00 -0.1654667E+01  0.1367211E+00  0.2132346E+01
