  1.77500000E+00 -1.00000000E+00  7.89308244E-02 -1.98988386E-03
  1.80000000E+00 -1.00000000E+00  7.88258441E-02 -1.70402968E-03
  1.82500000E+00 -1.00000000E+00  7.87205111E-02 -1.42347832E-03
  1.85000000E+00 -1.00000000E+00  7.86148262E-02 -1.14845077E-03
  1.87500000E+00 -1.00000000E+00  7.85087899E-02 -8.79167799E-04
  1.90000000E+00 -1.00000000E+00  7.84024025E-02 -6.15849882E-04
  1.92500000E+00 -1.00000000E+00  7.82956639E-02 -3.58717242E-04
  1.95000000E+00 -1.00000000E+00  7.81885736E-02 -1.07989809E-04
  1.97500000E+00 -1.00000000E+00  7.80811311E-02  1.36112787E-04
  2.00000000E+00 -1.00000000E+00  7.79733352E-02  3.73371236E-04
  2.02500000E+00 -1.00000000E+00  7.78651848E-02  6.03566562E-04
  2.05000000E+00 -1.00000000E+00  7.77566785E-02  8.26480147E-04
  2.07500000E+00 -1.00000000E+00  7.76478144E-02  1.04189375E-03
  2.10000000E+00 -1.00000000E+00  7.75385906E-02  1.24958952E-03
  2.12500000E+00 -1.00000000E+00  7.74290050E-02  1.44935004E-03
  2.15000000E+00 -1.00000000E+00  7.73190552E-02  1.64095833E-03
  2.17500000E+00 -1.00000000E+00  7.72087385E-02  1.82419789E-03
  2.20000000E+00 -1.00000000E+00  7.70980523E-02  1.99885272E-03
  2.22500000E+00 -1.00000000E+00  7.69869937E-02  2.16470736E-03
  2.25000000E+00 -1.00000000E+00  7.68755595E-02  2.32154692E-03
  2.27500000E+00 -1.00000000E+00  7.67637467E-02  2.46915711E-03
  2.30000000E+00 -1.00000000E+00  7.66515518E-02  2.60732427E-03
  2.32500000E+00 -1.00000000E+00  7.65389715E-02  2.73583544E-03
  2.35000000E+00 -1.00000000E+00  7.64260022E-02  2.85447837E-03
  2.37500000E+00 -1.00000000E+00  7.63126404E-02  2.96304158E-03
  2.40000000E+00 -1.00000000E+00  7.61988825E-02  3.06131439E-03
  2.42500000E+00 -1.00000000E+00  7.60847247E-02  3.14908700E-03
  2.45000000E+00 -1.00000000E+00  7.59701633E-02  3.22615051E-03
  2.47500000E+00 -1.00000000E+00  7.58551947E-02  3.29229700E-03
  2.50000000E+00 -1.00000000E+00  7.57398151E-02  3.34731956E-03
  2.52500000E+00 -1.00000000E+00  7.56240208E-02  3.39101236E-03
  2.55000000E+00 -1.00000000E+00  7.55078084E-02  3.42317072E-03
  2.57500000E+00 -1.00000000E+00  7.53911741E-02  3.44359116E-03
  2.60000000E+00 -1.00000000E+00  7.52741145E-02  3.45207150E-03
  2.62500000E+00 -1.00000000E+00  7.51566264E-02  3.44841087E-03
  2.65000000E+00 -1.00000000E+00  7.50387064E-02  3.43240984E-03
  2.67500000E+00 -1.00000000E+00  7.49203515E-02  3.40387045E-03
  2.70000000E+00 -1.00000000E+00  7.48015588E-02  3.36259633E-03
  2.72500000E+00 -1.00000000E+00  7.46823257E-02  3.30839276E-03
  2.75000000E+00 -1.00000000E+00  7.45626496E-02  3.24106673E-03
  2.77500000E+00 -1.00000000E+00  7.44425284E-02  3.16042708E-03
  2.80000000E+00 -1.00000000E+00  7.43219601E-02  3.06628454E-03
  2.82500000E+00 -1.00000000E+00  7.42009430E-02  2.95845185E-03
  2.85000000E+00 -1.00000000E+00  7.40794760E-02  2.83674384E-03
  2.87500000E+00 -1.00000000E+00  7.39575581E-02  2.70097755E-03
  2.90000000E+00 -1.00000000E+00  7.38351887E-02  2.55097228E-03
  2.92500000E+00 -1.00000000E+00  7.37123678E-02  2.38654976E-03
  2.95000000E+00 -1.00000000E+00  7.35890957E-02  2.20753420E-03
  2.97500000E+00 -1.00000000E+00  7.34653734E-02  2.01375245E-03
  3.00000000E+00 -1.00000000E+00  7.33412023E-02  1.80503404E-03
  3.02500000E+00 -1.00000000E+00  7.32165843E-02  1.58121137E-03
  3.05000000E+00 -1.00000000E+00  7.30915221E-02  1.34211978E-03
  3.07500000E+00 -1.00000000E+00  7.29660191E-02  1.08759769E-03
  3.10000000E+00 -1.00000000E+00  7.28400794E-02  8.17486678E-04
  3.12500000E+00 -1.00000000E+00  7.27137077E-02  5.31631675E-04
  3.15000000E+00 -1.00000000E+00  7.25869097E-02  2.29881031E-04
  3.17500000E+00 -1.00000000E+00  7.24596920E-02 -8.79133330E-05
  3.20000000E+00 -1.00000000E+00  7.23320622E-02 -4.21895804E-04
  3.22500000E+00 -1.00000000E+00  7.22040287E-02 -7.72206945E-04
  3.25000000E+00 -1.00000000E+00  7.20756012E-02 -1.13898336E-03
  3.27500000E+00 -1.00000000E+00  7.19467904E-02 -1.52235757E-03
  3.30000000E+00 -1.00000000E+00  7.18176084E-02 -1.92245788E-03
  3.32500000E+00 -1.00000000E+00  7.16880686E-02 -2.33940823E-03
  3.35000000E+00 -1.00000000E+00  7.15581855E-02 -2.77332808E-03
  3.37500000E+00 -1.00000000E+00  7.14279755E-02 -3.22433229E-03
  3.40000000E+00 -1.00000000E+00  7.12974563E-02 -3.69253095E-03
  3.42500000E+00 -1.00000000E+00  7.11666472E-02 -4.17802930E-03
  3.45000000E+00 -1.00000000E+00  7.10355695E-02 -4.68092757E-03
  3.47500000E+00 -1.00000000E+00  7.09042461E-02 -5.20132089E-03
  3.50000000E+00 -1.00000000E+00  7.07727020E-02 -5.73929915E-03
  3.52500000E+00 -1.00000000E+00  7.06409639E-02 -6.29494691E-03
  3.55000000E+00 -1.00000000E+00  7.05090609E-02 -6.86834329E-03
  3.57500000E+00 -1.00000000E+00  7.03770241E-02 -7.45956189E-03
  3.60000000E+00 -1.00000000E+00  7.02448868E-02 -8.06867071E-03
  3.62500000E+00 -1.00000000E+00  7.01126846E-02 -8.69573207E-03
  3.65000000E+00 -1.00000000E+00  6.99804554E-02 -9.34080254E-03
  3.67500000E+00 -1.00000000E+00  6.98482392E-02 -1.00039330E-02
  3.70000000E+00 -1.00000000E+00  6.97160784E-02 -1.06851683E-02
  3.72500000E+00 -1.00000000E+00  6.95840176E-02 -1.13845479E-02
  3.75000000E+00 -1.00000000E+00  6.94521033E-02 -1.21021049E-02
  3.77500000E+00 -1.00000000E+00  6.93203840E-02 -1.28378671E-02
  3.80000000E+00 -1.00000000E+00  6.91889097E-02 -1.35918562E-02
  3.82500000E+00 -1.00000000E+00  6.90577317E-02 -1.43640881E-02
  3.85000000E+00 -1.00000000E+00  6.89269026E-02 -1.51545731E-02
